# gunzip -c exp/tri5a_sp_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Sep 28 18:28:26 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 57.733591413% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 27.1033013845% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 57.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,10.5,39) frames.
Overall, g accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,17) frames.
Overall, i7 accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.2,34) frames.
Overall, ah4 accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.0,41) frames.
Overall, th accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.1,20) frames.
Overall, a2 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.4,39) frames.
Overall, ai5 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.8,40) frames.
Overall, e7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.6,40) frames.
Overall, i3 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.8,39) frames.
Overall, u7 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.7,37) frames.
Overall, ua2 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.4,29) frames.
Overall, ong2 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,21.2,42) frames.
Overall, i1 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.9,38) frames.
Overall, eh4 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,23.5,44) frames.
Overall, n accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.5,19) frames.
Overall, oo7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.2,38) frames.
Overall, m accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,18) frames.
Overall, ang5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,23.9,47) frames.
Overall, it4 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.6,27) frames.
Overall, ing5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.4,47) frames.
Overall, ing1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.4,37) frames.
Overall, ai3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.5,34) frames.
Overall, in1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.7,32) frames.
Overall, ph accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.7,23) frames.
Overall, o2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.6,30) frames.
Overall, i5 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,25.5,54) frames.
The optional-silence phone SIL occupies 21.2% of frames overall 
Limiting the stats to the 89.4% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 19.5% of frames.
Assuming 100 frames per second, the alignments represent 6.6 hours of data, or 5.2 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 13.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (20,23.9,59)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Sep 28 18:28:26 CST 2022, elapsed time 0 seconds
