# gunzip -c exp/tri4a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Sep 28 18:09:26 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 59.0310689837% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 26.3269639066% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 59.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.8,36) frames.
At utterance end, i7 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.8,38) frames.
At utterance end, o5 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.7,36) frames.
At utterance end, ing5 accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (39,37.3,45) frames.
At utterance end, ai7 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.4,40) frames.
At utterance end, oo7 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (34,34.6,39) frames.
At utterance end, ue3 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.5,33) frames.
At utterance end, ui3 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.5,33) frames.
At utterance end, m7 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.0,33) frames.
At utterance end, i1 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (34,33.0,39) frames.
At utterance end, ua2 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.0,40) frames.
At utterance end, im1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.6,36) frames.
At utterance end, ai3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.1,35) frames.
At utterance end, i5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (39,40.0,43) frames.
At utterance end, ue7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,38.1,43) frames.
At utterance end, un3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,26.5,33) frames.
At utterance end, au2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,30.2,39) frames.
At utterance end, ia1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (40,40.5,43) frames.
At utterance end, ia7 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (41,40.9,45) frames.
At utterance end, iann1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (37,37.5,45) frames.
At utterance end, ngh4 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.8,33) frames.
At utterance end, o2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (25,24.9,30) frames.
At utterance end, oh4 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,25.8,29) frames.
At utterance end, ong2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (30,34.9,38) frames.
Overall, nonsilence accounts for 84.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.3,34) frames.
Overall, SIL accounts for 15.4% of phone occurrences, with duration (median, mean, 95-percentile) is (17,22.3,58) frames.
Overall, k accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,16) frames.
Overall, l accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,13) frames.
Overall, s accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,16.8,23) frames.
Overall, ts accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,18) frames.
Overall, t accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,16) frames.
Overall, h accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,19) frames.
Overall, e5 accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.1,35) frames.
Overall, kh accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.9,19) frames.
Overall, p accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,18) frames.
Overall, i2 accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.8,32) frames.
Overall, b accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.7,14) frames.
Overall, tsh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.2,20) frames.
Overall, g accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,16) frames.
Overall, i7 accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,34) frames.
Overall, ah4 accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.9,38) frames.
Overall, th accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.9,19) frames.
Overall, a2 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.6,38) frames.
Overall, ai5 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.8,40) frames.
Overall, e7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.9,39) frames.
Overall, i3 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.6,37) frames.
Overall, u7 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.6,35) frames.
Overall, ua2 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,29) frames.
Overall, ong2 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,21.3,40) frames.
Overall, i1 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.0,38) frames.
Overall, eh4 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (25,23.2,43) frames.
Overall, n accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,17) frames.
Overall, oo7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.2,36) frames.
Overall, m accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.7,17) frames.
Overall, ang5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.1,45) frames.
Overall, it4 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.7,27) frames.
Overall, ing5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.3,44) frames.
Overall, ing1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.3,36) frames.
Overall, ai3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.6,34) frames.
Overall, in1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.6,30) frames.
Overall, ph accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.5,23) frames.
Overall, o2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.9,30) frames.
Overall, i5 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,25.5,53) frames.
The optional-silence phone SIL occupies 21.0% of frames overall 
Limiting the stats to the 89.5% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 19.4% of frames.
Assuming 100 frames per second, the alignments represent 2.2 hours of data, or 1.7 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 13.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (20,23.6,58)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Sep 28 18:09:26 CST 2022, elapsed time 0 seconds
