# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun Sep 25 13:09:18 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 42.9473684211% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 86.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,26) frames.
Overall, ai5 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.4,36) frames.
Overall, e7 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.2,37) frames.
Overall, i3 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.3,31) frames.
Overall, u7 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.9,31) frames.
Overall, ua2 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.6,26) frames.
Overall, ong2 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.1,36) frames.
Overall, eh4 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,22.0,37) frames.
Overall, i1 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.8,35) frames.
Overall, n accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,14) frames.
Overall, oo7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.7,37) frames.
Overall, ang5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,24.8,45) frames.
Overall, m accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,15) frames.
Overall, it4 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,21) frames.
Overall, ing5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,25.2,44) frames.
Overall, ing1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.3,32) frames.
Overall, ai3 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.4,25) frames.
Overall, in1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.2,26) frames.
Overall, ph accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.2,21) frames.
Overall, o2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.9,24) frames.
The optional-silence phone SIL occupies 25.9% of frames overall 
Limiting the stats to the 91.1% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 23.9% of frames.
Assuming 100 frames per second, the alignments represent 2.2 hours of data, or 1.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 13.8% of utterance-internal phones, with duration (median, mean, 95-percentile) = (23,27.2,63)
# Accounting: time=0 threads=1
# Ended (code 0) at Sun Sep 25 13:09:18 CST 2022, elapsed time 0 seconds
