音檔,來源,漢字,羅馬字,長短
ImTong/SuiSiann_0034.wav,hóo-tīng否定句,我peh無遮懸。,Guá peh bô tsiah kuân.,1.46
ImTong/SuiSiann_0035.wav,hóo-tīng否定句,佇學校交無朋友。,Tī ha̍k-hāu kau bô pîng-iú.,1.97
ImTong/SuiSiann_0036.wav,hóo-tīng否定句,黃先生有佇咧無？,N̂g--sian-sinn ū tī--leh--bô?,1.91
ImTong/SuiSiann_0037.wav,hóo-tīng否定句,敢講你已經無愛我矣？,Kám-kóng lí í-king bô ài--guá--ah?,2.15
ImTong/SuiSiann_0038.wav,hóo-tīng否定句,伊毋聽就是毋聽，咱嘛無伊法。,"I m̄ thiann tō sī m̄ thiann, lán mā bô-i-huat.",3.62
ImTong/SuiSiann_0039.wav,hóo-tīng否定句,拄才地動偌大咧，你毋緊覕佇桌仔跤是咧想啥？,"Tú-tsiah tē-tāng guā tuā--leh, lí m̄ kín bih tī toh-á-kha sī leh siūnn siannh?",4.94
ImTong/SuiSiann_0040.wav,hóo-tīng否定句,索仔呔毋斷？,Soh-á thài m̄ tn̄g?,1.64
ImTong/SuiSiann_0041.wav,hóo-tīng否定句,索仔呔會無斷？,Soh-á thài ē bô tn̄g?,1.55
ImTong/SuiSiann_0042.wav,hóo-tīng否定句,警察哪會毋放人？,Kíng-tshat ná ē m̄ pàng lâng?,1.88
ImTong/SuiSiann_0043.wav,hóo-tīng否定句,恁翁哪會毋放人？,Lín ang ná ē m̄ pàng lâng?,1.85
ImTong/SuiSiann_0044.wav,hóo-tīng否定句,伊毋捌來過韓國。,I m̄ bat lâi-kuè Hân-kok.,1.61
ImTong/SuiSiann_0045.wav,hóo-tīng否定句,恁某敢知影你著愛國獎券？,Lín bóo kám tsai-iánn lí tio̍h ài-kok-tsióng-kuàn?,2.78
ImTong/SuiSiann_0046.wav,hóo-tīng否定句,你敢知影恁翁佇外口有查某？,Lí kám tsai-iánn lín ang tī guā-kháu ū tsa-bóo?,3.26
ImTong/SuiSiann_0047.wav,hóo-tīng否定句,恁姼仔欲去抑是毋去？,Lín tshit-á beh khì a̍h-sī m̄ khì?,2.54
ImTong/SuiSiann_0048.wav,hóo-tīng否定句,恁厝內人知影你偷人物件抑是毋知影？,Lín tshù-lāi-lâng tsai-iánn lí thau lâng mi̍h-kiānn a̍h-sī m̄ tsai-iánn?,4.01
ImTong/SuiSiann_0049.wav,hóo-tīng否定句,想會通想袂通攏無要緊，乖乖仔聽頭家的話就著矣。,"Siūnn ē thong siūnn bē thong lóng bô iàu-kín, kuai-kuai-á thiann thâu-ke ê uē tō tio̍h--ah.",5.87
ImTong/SuiSiann_0050.wav,hóo-tīng否定句,伊猶未來。,I iáu-bē lâi.,1.22
ImTong/SuiSiann_0051.wav,hóo-tīng否定句,我猶未揣著。,Guá iáu-bē tshuē--tio̍h.,1.25
ImTong/SuiSiann_0052.wav,hóo-tīng否定句,逐家攏猶未食了。,Ta̍k-ke lóng iáu-bē tsia̍h-liáu.,1.79
ImTong/SuiSiann_0053.wav,hóo-tīng否定句,猶未到美國，伊就開始咧煩惱愛買啥物禮物送予女朋友。,"Iáu-bē kàu Bí-kok, i tō khai-sí leh huân-ló ài bé siánn-mih lé-bu̍t sàng hōo lú-pîng-iú.",5.48
ImTong/SuiSiann_0054.wav,hóo-tīng否定句,柑仔猶未紅，食著酸酸。,"Kam-á iáu-bē âng, tsia̍h-tio̍h sng-sng.",2.93
ImTong/SuiSiann_0055.wav,hóo-tīng否定句,我一講伊考無好，伊就見笑轉受氣矣。,"Guá tsi̍t kóng i khó bô hó, i tō kiàn-siàu tńg siū-khì--ah.",3.89
ImTong/SuiSiann_0056.wav,hóo-tīng否定句,橫直按怎講攏講袂聽，我已經無步ā。,"Huâinn-ti̍t án-tsuánn kóng lóng kóng bē thiann, guá í-king bô-pōo ā.",4.25
ImTong/SuiSiann_0057.wav,hóo-tīng否定句,橫直你按怎講伊攏講袂聽，我早就無啥想欲插伊矣。,"Huâinn-ti̍t lí án-tsuánn kóng i lóng kóng bē thiann, guá tsá tiō bô siánn siūnn-beh tshap--i--ah.",5.18
ImTong/SuiSiann_0058.wav,hóo-tīng否定句,你千萬毋通共人講我著一千萬。,Lí tshian-bān m̄-thang kā lâng kóng guá tio̍h tsi̍t-tshing-bān.,3.17
ImTong/SuiSiann_0059.wav,hóo-tīng否定句,是共你當做兄弟才講的，這筆生理你千萬毋通共別人講。,"Sī kā lí tòng-tsò hiann-tī tsiah kóng--ê, tsit pit sing-lí lí tshian-bān m̄-thang kā pa̍t-lâng kóng.",5.45
ImTong/SuiSiann_0060.wav,hóo-tīng否定句,人毋知影你欲來，無我就妝較媠咧。,"Lâng m̄ tsai-iánn lí beh lâi, bô guá tō tsng khah suí--leh.",3.44
ImTong/SuiSiann_0061.wav,hóo-tīng否定句,你提啥佮人比？,Lí the̍h siánn kah lâng pí?,1.58
ImTong/SuiSiann_0062.wav,hóo-tīng否定句,無食過遮爾好食的。,Bô tsia̍h-kuè tsiah-nī hó-tsia̍h--ê.,2.06
ImTong/SuiSiann_0063.wav,hóo-tīng否定句,煞毋知咧嫌薪水傷少。,Suah m̄ tsai leh hiâm sin-suí siunn tsió.,2.54
ImTong/SuiSiann_0064.wav,hóo-tīng否定句,哪會咧無歡喜？,Ná ē leh bô huann-hí?,1.49
ImTong/SuiSiann_0065.wav,hóo-tīng否定句,免你家婆。,Bián lí ke-pô.,1.25
ImTong/SuiSiann_0066.wav,hóo-tīng否定句,阮遮毋免你家婆。,Gún tsia m̄-bián lí ke-pô.,1.91
ImTong/SuiSiann_0067.wav,hóo-tīng否定句,假使免做兵偌好咧。,Ká-sú bián tsò-ping guā hó--leh.,2.42
ImTong/SuiSiann_0068.wav,hóo-tīng否定句,若免上班就有錢我隨辭頭路。,Nā bián siōng-pan tō ū tsînn guá suî sî thâu-lōo.,3.53
ImTong/SuiSiann_0069.wav,hóo-tīng否定句,睏罔睏，莫陷眠，免數想ā啦。,"Khùn bóng khùn, mài hām-bîn, bián siàu-siūnn ā--lah。",3.38
ImTong/SuiSiann_0070.wav,hóo-tīng否定句,袂當偷食步。,Bē-tàng thau-tsia̍h-pōo.,1.52
ImTong/SuiSiann_0071.wav,hóo-tīng否定句,無要緊。,Bô iàu-kín.,0.98
ImTong/SuiSiann_0072.wav,ing-gí-sû英語詞,我欲去Seven，敢愛鬥買啥轉來？,"Guá beh khì Seven, kám ài tàu bé siannh--tńg-lâi?",3.08
ImTong/SuiSiann_0073.wav,ing-gí-sû英語詞,你佇Fb有偌濟朋友啊？,Lí tī Fb ū juā-tsē pîng-iú--ah?,2.54
ImTong/SuiSiann_0074.wav,ing-gí-sû英語詞,我明明就是用生日做Fb的密碼，哪會一直無法度登入？,"Guá bîng-bîng tō sī iōng senn-ji̍t tsò Fb ê bi̍t-bé, ná ē it-ti̍t bô-huat-tōo ting-ji̍p?",5.45
ImTong/SuiSiann_0075.wav,ing-gí-sû英語詞,這馬連Facebook的董事長攏乖乖仔聽中國的話，我看乎咱台灣人以後可能無Facebook通用ā。,"Tsit-má liân Facebook ê táng-sū-tiúnn lóng kuai-kuai-á thiann Tiong-kok ê uē, guá khuànn--honnh lán Tâi-uân lâng í-āu khó-lîng bô Facebook thang iōng ā.",9.98
ImTong/SuiSiann_0076.wav,ing-gí-sû英語詞,中國佇網路頂是愈來愈有勢力，眼時可能干焦賰Twitter猶未受著影響niâ。,"Tiong-kok tī bāng-lōo-tíng sī jú lâi jú ū sè-li̍k, gián-sî khó-lîng kan-ta tshun Twitter iáu-bē siū-tio̍h íng-hióng niâ.",8.93
ImTong/SuiSiann_0077.wav,ing-gí-sû英語詞,有代誌就共我Line，我若看著會隨回你。,"Ū tāi-tsì tō kā guá Line, guá nā khuànn--tio̍h ē suî huê--lí.",4.46
ImTong/SuiSiann_0078.wav,ing-gí-sû英語詞,到厝了後愛會記得用Line敲予我。,Kàu tshù liáu-āu ài ē-kì-tit iōng Line khà hōo--guá.,4.07
ImTong/SuiSiann_0079.wav,ing-gí-sû英語詞,伊好額人ā，手機仔攏嘛用iPhone。,"I hó-gia̍h-lâng ā, tshiú-ki-á lóng mā iōng iPhone.",3.38
ImTong/SuiSiann_0080.wav,ing-gí-sû英語詞,進前定定綴人買Apple的產品，開錢若開水咧。但是這馬愛較抾拾，所以我就無閣綴咧痟iPhone矣。,"Tsìn-tsîng tiānn-tiānn tuè lâng bé Apple ê sán-phín, khai-tsînn ná khai tsuí--leh. Tān-sī tsit-má ài khah khioh-si̍p, sóo-í guá tō bô koh tuè-leh siáu iPhone--ah.",11.33
ImTong/SuiSiann_0081.wav,ing-gí-sû英語詞,你莫用IE a啦，用Chrome抑是Firefox才拍會開。,"Lí mài iōng IE a--lah, iōng Chrome a̍h-sī Firefox tsiah phah ē khui.",5.27
ImTong/SuiSiann_0082.wav,ing-gí-sû英語詞,政府的網站乎，愛用IE才會開開啦。,"Tsìng-hú ê bāng-tsām--honnh, ài iōng IE tsiah ē khui--khui--lah.",3.95
ImTong/SuiSiann_0083.wav,ing-gí-sû英語詞,政府的網站乎，愛用IE才開會開啦。,"Tsìng-hú ê bāng-tsām--honnh, ài iōng IE tsiah khui ē khui--lah.",3.98
ImTong/SuiSiann_0084.wav,ing-gí-sû英語詞,有一个網站專門咧賣DIY的材料，你佇Google拍「媠媠DIY」應該就揣會著矣。,"Ū tsi̍t ê bāng-tsām tsuan-bûn leh bē DIY ê tsâi-liāu, lí tī Google phah ""Suí-suí DIY "" ing-kai tō tshuē ē tio̍h--ah.",8.36
ImTong/SuiSiann_0085.wav,ing-gí-sû英語詞,無共你騙，Three-M的菜瓜布實在有夠好用的啦！若準講你有需要乎，會當對我遮提幾塊仔轉去鑢看覓。,"Bô kā lí phiàn, Three-M ê tshài-kue-pòo si̍t-tsāi ū-kàu hó-iōng--ê--lah! Nā-tsún kóng lí ū su-iàu--honnh, ē-tàng uì guá tsia the̍h kuí-tè-á tńg-khì lù khuànn-māi.",10.46
ImTong/SuiSiann_0086.wav,ing-gí-sû英語詞,Three-M是美國公司，拄開始主要是咧賣工業用品，後來沓沓仔轉型，轉做生產生活用品，親像黏布、菜瓜布。最近幾年in閣有咧賣枕頭。,"Three-M sī Bí-kok kong-si, tú khai-sí tsú-iàu sī leh bē kang-gia̍p iōng-phín, āu--lâi ta̍uh-ta̍uh-á tsuán-hîng, tsuán-tsò sing-sán sing-ua̍h iōng-phín, tshin-tshiūnn liâm-pòo, tshài-kue-pòo. Tsuè-kīn kuí nî in koh ū leh bē tsím-thâu.",17.92
ImTong/SuiSiann_0087.wav,ing-gí-sû英語詞,你敢有閒通共我鬥紹介一下，Nike上四序的鞋仔是佗一雙？,"Lí kám ū-îng thang kā guá tàu siāu-kài--tsi̍t-ē, Nike siōng sù-sī ê ê-á sī tó tsi̍t siang?",6.26
ImTong/SuiSiann_0088.wav,ing-gí-sû英語詞,Adidas這幾年嘛學Nike設計一寡色水嬌的鞋仔。,Adidas tsit kuí nî mā o̍h Nike siat-kè tsi̍t-kuá sik-tsuí kiau ê ê-á.,6.97
ImTong/SuiSiann_0089.wav,ing-gí-sû英語詞,你若欲去買物件，這附近有一間Costco，物件俗閣大碗，內底嘛足闊足好踅的。,"Lí nā beh khì bé mi̍h-kiānn, tsit hù-kīn ū tsi̍t king Costco, mi̍h-kiānn sio̍k koh tuā-uánn, lāi-té mā tsiok khuah tsiok hó se̍h--ê.",8.66
ImTong/SuiSiann_0090.wav,ing-gí-sû英語詞,我來共你報路啦。你車對遮駛到第二个路口的時陣乎，會佇倒手爿看著Costco，然後佇彼个路口正斡，就會迵去高速公路ā。,"Guá lâi kā lí pò-lōo--lah. Lí tshia uì tsia sái kàu tē-jī ê lōo-kháu ê sî-tsūn--honnh, ē tī tò-tshiú-pîng khuànn-tio̍h Costco, liân-āu tī hit ê lōo-kháu tsiànn uat, tō ē thàng-khì ko-sok-kong-lōo ā.",13.49
ImTong/SuiSiann_0091.wav,ing-gí-sû英語詞,Ikea的物件攏誠粗俗，用無偌久就歹去矣。,"Ikea ê mi̍h-kiānn lóng tsiânn tshoo-sio̍k, iōng bô-guā-kú tō pháinn--khì--ah.",5.8
ImTong/SuiSiann_0092.wav,ing-gí-sû英語詞,Ikea的物件蓋好鬥，免偌久就鬥會好。,"Ikea ê mi̍h-kiānn kài hó tàu, bián guā-kú tō tàu ē hó.",6.13
ImTong/SuiSiann_0093.wav,ing-gí-sû英語詞,看你抹SK-two抹甲遐骨力，到底是抹了有效無？,"Khuànn lí buah SK-two buah kah hiah kut-la̍t, tàu-té sī buah liáu ū-hāu--bô?",5.3
ImTong/SuiSiann_0094.wav,ing-gí-sû英語詞,Sī-sé-tòo感謝恁來參加阮的人客滿意度調查。,Sī-sé-tòo kám-siā lín lâi tsham-ka gún ê lâng-kheh muá-ì-tōo tiâu-tsa.,4.73
ImTong/SuiSiann_0095.wav,ing-gí-sû英語詞,我攏猶未去踅過B-and-Q，伊就收了了矣。,"Guá lóng iáu-buē khì se̍h-kuè B-and-Q, i tō siu-liáu-liáu--ah.",4.37
ImTong/SuiSiann_0096.wav,ing-gí-sû英語詞,我的電腦怪怪，連袂起去Internet。,"Guá ê tiān-náu kuài-kuài, liân bē khí-lì Internet.",3.41
ImTong/SuiSiann_0097.wav,ing-gí-sû英語詞,你tsa̋ng暝Wi-Fi攏無關乎？,Lí tsa̋ng-mê Wi-Fi lóng bô kuainn--honnh?,2.72
ImTong/SuiSiann_0098.wav,ing-gí-sû英語詞,房間內底收袂著Wi-Fi，你若欲用手機仔可能愛去客廳用。,"Pâng-king lāi-té siu bē tio̍h Wi-Fi, lí nā beh iōng tshiú-ki-á khó-lîng ài khì kheh-thiann iōng.",6.44
ImTong/SuiSiann_0099.wav,ing-gí-sû英語詞,伊彼軀衫敢是去Net買--的？,I hit su sann kám sī khì Net bé--ê?,2.84
ImTong/SuiSiann_0100.wav,ing-gí-sû英語詞,Giordano的拍折攏是假，根本無俗偌濟。,"Giordano ê phah-tsiat lóng sī ké, kin-pún bô sio̍k guā-tsuē.",5.92
ImTong/SuiSiann_0101.wav,ing-gí-sû英語詞,你敢捌去踅過Uniqlo？伊有來咱遮開一間店。,Lí kám bat khì se̍h-kuè Uniqlo? I ū lâi lán tsia khui tsi̍t king tiàm.,4.46
ImTong/SuiSiann_0102.wav,ing-gí-sû英語詞,阮攏紮便當觳仔去KFC貯馬鈴薯糋。,Gún lóng tsah piān-tong-khok-á khì KFC té má-lîng-tsî-tsìnn.,4.67
ImTong/SuiSiann_0103.wav,ing-gí-sû英語詞,McDonald's的漢堡愈賣愈細粒，攏食袂飽。,"McDonald's ê hàn-pó lú bē lú sè lia̍p, lóng tsia̍h bē pá.",5.68
ImTong/SuiSiann_0104.wav,ing-gí-sû英語詞,Mőo烏白罵人「Fuck you」，這足歹聽的。,"Mőo oo-pe̍h mē lâng ""Fuck you"", tse tsiok pháinn-thiann--ê.",3.41
ImTong/SuiSiann_0105.wav,ing-gí-sû英語詞,你電腦的CPU是買Intel的抑是AMD的？,Lí tiān-náu ê CPU sī bé Intel--ê a̍h-sī AMD--ê?,4.79
ImTong/SuiSiann_0106.wav,ing-gí-sû英語詞,這个Youtuber攏會展伊的貓仔，而且伊的貓仔足古錐的。,"Tsit ê Youtuber lóng ē tián i ê niau-á, jî-tshiánn i ê niau-á tsiok kóo-tsui--ê.",5.78
ImTong/SuiSiann_0107.wav,ing-gí-sû英語詞,你去看Youtube敢有你佮意的音樂。,Lí khì khuànn Youtube kám ū lí kah-ì ê im-ga̍k.,3.2
ImTong/SuiSiann_0108.wav,ing-gí-sû英語詞,彼个影片我捌佇Youtube看過，你會當去揣看覓。,"Hit ê iánn-phìnn guá bat tī Youtube khuànn--kuè, lí ē-tàng khì tshuē khuànn-māi.",4.88
ImTong/SuiSiann_0109.wav,ing-gí-sû英語詞,Subway的菜有通家己揀，袂䆀。,"Subway ê tshài ū-thang ka-tī kíng, bē-bái.",3.17
ImTong/SuiSiann_0110.wav,ing-gí-sû英語詞,B-one到矣。,B-one kàu--ah.,3.16
ImTong/SuiSiann_0111.wav,ing-gí-sû英語詞,恁車敢停佇B-two？,Lín tshia kám thîng tī B-two?,3.44
ImTong/SuiSiann_0112.wav,ing-gí-sû英語詞,無，我車停佇B三。,"Bô, guá tshia thîng tī B-sann.",2.42
ImTong/SuiSiann_0113.wav,ing-gí-sû英語詞,我欲到B四，幫我揤一下。,"Guá beh kàu B-sì, pang guá tshi̍h--tsi̍t-ē.",2.87
ImTong/SuiSiann_0114.wav,ing-gí-sû英語詞,我欲到B四，幫我揤一下。,"Guá beh kàu B-sì, pang guá ji̍h--tsi̍t-ē.",2.84
ImTong/SuiSiann_0115.wav,ing-gí-sû英語詞,這台電梯無到B五ōo，你愛去坐對面彼台才有到。,"Tsit tâi tiān-thui bô kàu B-gōo ōo, lí ài khì tsē tuì-bīn hit tâi tsiah ū kàu.",5.36
ImTong/SuiSiann_0116.wav,ing-gí-sû英語詞,你敢有二B的鉛筆？,Lí kám ū ㄦˋ-B ê iân-pit?,1.85
ImTong/SuiSiann_0117.wav,ing-gí-sû英語詞,你敢有二B的鉛筆？若有請借我，我明仔載欲去考試。,"Lí kám ū jī-B ê iân-pit? Nā ū tshiánn tsioh--guá, guá bîn-á-tsài beh khì khó-tshì.",5.69
ImTong/SuiSiann_0118.wav,ing-gí-sû英語詞,Cheese口味的pizza我上愛食。,Cheese kháu-bī ê pizza guá siōng ài tsia̍h.,4.39
ImTong/SuiSiann_0119.wav,ing-gí-sû英語詞,暗頓咱來食pizza好無？,Àm-tǹg lán lâi tsia̍h pizza hó--bô?,2.39
ImTong/SuiSiann_0120.wav,ing-gí-sû英語詞,恁兜的網路是牽幾mega的？,Lín tau ê bāng-lōo sī khan kuí mega--ê?,2.69
ImTong/SuiSiann_0121.wav,ing-gí-sû英語詞,我三十二 Giga的隨身碟pháng去矣。,Guá sann-tsa̍p-jī Giga ê suî-sin-tia̍p pháng--khì--ah.,3.2
ImTong/SuiSiann_0122.wav,ing-gí-sû英語詞,我三十二 Giga的隨身碟phàng見矣。,Guá sann-tsa̍p-jī Giga ê suî-sin-tia̍p phàng-kìnn--ah.,2.93
ImTong/SuiSiann_0123.wav,ing-gí-sû英語詞,這八T的硬碟遐貴！你買會lueh？,Tse peh T ê ngē-tia̍p hiah kuì! lí bé ē lueh?,3.53
ImTong/SuiSiann_0124.wav,ing-gí-sû英語詞,這齣電影的菜脯誠gâu搬，看了誠有fu。,"Tsit tshut tiān-iánn ê Tshài-póo tsiânn gâu puann, khuànn-liáu tsiânn ū fu.",4.49
ImTong/SuiSiann_0125.wav,ing-gí-sû英語詞,"Sa̋i-ióo-ná-lah, goodbye！ 明仔載才閣來。","Sa̋i-ióo-ná-lah, goodbye! Bîn-á-tsài tsiah koh lâi.",3.59
ImTong/SuiSiann_0126.wav,ing-gí-sû英語詞,我細漢就有去注B型肝炎疫苗，毋知這馬閣有抗體無？,"Guá sè-hàn tō ū khì tsù B-hîng kuann-iām i̍k-biâu, m̄ tsai tsit-má koh ū khòng-thé--bô?",5.63
ImTong/SuiSiann_0127.wav,ing-gí-sû英語詞,我細漢就有去注B型肝炎疫苗，是講毋知這馬敢閣有抗體無？,"Guá sè-hàn tō ū khì tsù B-hîng kuann-iām i̍k-biâu, sī kóng m̄ tsai tsit-má kám koh ū khòng-thé--bô?",6.8
ImTong/SuiSiann_0128.wav,ing-gí-sû英語詞,這馬有偌濟人著A型肝炎？,Tsit-má ū guā-tsē lâng tio̍h A-hîng kuann-iām?,3.05
ImTong/SuiSiann_0129.wav,ing-gí-sû英語詞,逐包血捐血中心攏會檢查有B、C肝病無，做你放心。,"Ta̍k pau hueh kuan-hueh-tiong-sim lóng ē kiám-tsa ū B, C kuann-pēnn--bô, tsò lí hòng-sim.",5.87
ImTong/SuiSiann_0130.wav,ing-gí-sû英語詞,C肝的藥仔誠貴，上無愛二三十萬。,"C-kuann ê io̍h-á tsiânn kuì, siōng bô ài jī-sann-tsa̍p-bān.",5.65
ImTong/SuiSiann_0131.wav,ing-gí-sû英語詞,中國毋肯予美國H七N九雞災的病毒sa̋m-phú-luh。,Tiong-kok m̄ khíng hōo Bí-kok H-tshit-N-kiú ke-tse ê pēnn-to̍k sa̋m-phú-luh.,5.42
ImTong/SuiSiann_0132.wav,ing-gí-sû英語詞,二空一八年的流感疫苗是三價疫苗，除了有H三N二佮H-one-N-one的以外，閣有一種B型的抗原。,"Jī khòng it peh nî ê liû-kám i̍k-biâu sī sann kè i̍k-biâu, tû-liáu ū H-sam-N-jī kah H-one-N-one--ê í-guā, koh ū tsi̍t tsióng B-hîng ê khòng-guân.",12.14
ImTong/SuiSiann_0133.wav,ing-gí-sû英語詞,細胞內基因的DNA會轉錄做RNA，有的RNA閣會轉譯做咱需要的卵白質。,"Sè-pau lāi ki-in ê DNA ē tsuán-lo̍k tsò RNA, ū-ê RNA koh ē tsuán-i̍k tsò lán su-iàu ê nn̄g-pe̍h-tsit.",9.35
ImTong/SuiSiann_0134.wav,ing-gí-sû英語詞,查某佮查埔的基因主要是差佇第二十三對染色體，查某是XX，查埔是XY。,"Tsa-bóo kah tsa-poo ê ki-in tsú-iàu sī tsha tī tē-jī-tsa̍p-sann tuì ní-sik-thé, tsa-bóo sī XX, tsa-poo sī XY.",11.87
ImTong/SuiSiann_0135.wav,ing-gí-sû英語詞,你去驗DNA，看覓伊敢是你的親人？,"Lí khì giām DNA, khuànn-māi i kám sī lí ê tshin-lâng?",4.4
ImTong/SuiSiann_0136.wav,ing-gí-sû英語詞,恁fans今仔日哪無來？,Lín fans kin-á-ji̍t nà bô lâi?,2.36
ImTong/SuiSiann_0137.wav,ing-gí-sû英語詞,In兜的電火攏換LED的，加誠光的。,"In tau ê tiān-hué lóng uānn LED--ê, ke tsiânn kng--ê.",4.52
ImTong/SuiSiann_0138.wav,ing-gí-sû英語詞,阿玲著傷a，你敢有OK-páng通予伊貼？,"A-lîng tio̍h-siong a, lí kám ū OK-páng thang hōo i tah?",4.01
ImTong/SuiSiann_0139.wav,ing-gí-sû英語詞,聽講昌的買PS-four矣，你敢知影？,"Thiann-kóng Tshiong--ê bé PS-four--ah, lí kám tsai-iánn?",4.01
ImTong/SuiSiann_0140.wav,ing-gí-sû英語詞,你敢有欲來耍PS-two？,Lí kám ū beh lâi sńg PS-two?,2.12
ImTong/SuiSiann_0141.wav,ing-gí-sû英語詞,Microsoft的X-box 三六空敢有人捌耍過？,Microsoft ê X-box sam lio̍k khòng kám ū lâng bat sńg--kuè?,4.04
ImTong/SuiSiann_0142.wav,ing-gí-sû英語詞,阮電腦是鬥Office Word二空一空，有通儉做ODT檔。,"Guán tiān-náu sī tàu Office Word jī khòng it khòng, ū-thang khiām-tsò ODT tóng.",6.2
