彼號嘿,hit-lō--heh
駛,sái
第二,tē-jī
路口,lōo-kháu
時陣乎,sî-tsūn--honnh
倒手爿,tò-tshiú-pîng
然後,liân-āu,jiân-āu
彼,hit,he
正,tsiànn,tsiann--gue̍h,tsìng,tsìng-khak,niâ
斡,uat
迵去,thàng-khì
高速公路,ko-sok-kong-lōo
Ikea,ikea
誠,tsiânn,kah,tō
粗俗,tshoo-sio̍k
無偌久,bô-guā-kú,bô-luā-kú
歹去矣,pháinn--khì--ah
蓋,kài,kuà,sī
偌久,guā-kú
抹,buah
SKtwo,sk-two
遐,hiah,hia,kuán
骨力,kut-la̍t
有效無,ū-hāu--bô
Sīsétòo,sī-sé-tòo
感謝,kám-siā
人客,lâng-kheh
滿意度,muá-ì-tōo
調查,tiâu-tsa,tiau-tsa
踅過,se̍h-kuè
BandQ伊,b-and-q
收,tō,siu
了了矣,siu-liáu-liáu--ah,liáu-liáu--ah
電腦,tiān-náu,tiān-nóo
怪怪,kuài-kuài
起去,khí-lì,khit--lì,khì--lì,khí--lì
Internet,internet
tsa̋ng暝,tsa̋ng-mê
WiFi,wi-fi
關乎,kuainn--honnh
房間,pâng-king
WiFi你,wi-fi
手,iōng,tshiú
機仔可,tshiú-ki-á
能愛,khó-lîng
客,khì,kheh
廳用,kheh-thiann
,iōng,lâi,kâng,hó,pue,khui,ōo,lia̍h,uē,kî,kóng,ê,kiat-kó,sû-tsoo,bái,v-r,tōng-sû,tāi-bîng-sû,tíng,kuà,kòo,phinn,si,sim,tio̍h,lí,phuà,nî,kín,tiong,tsò,suí,tsháu,gia̍h,ū,tī,sū,kuân,sî,sann,ki,tsán,tshú,a,hong,piah,kiânn,siann,it,tsit-tsióng,kiann-hiânn,ngóo,sam,sù,lio̍k,tshit
軀,su
衫,sann
Net,net
買的,bé--ê
Giordano,giordano
拍折,phah-tsiat
假,ké
根本,kin-pún
Uniqlo,uniqlo
店,tiàm
紮,tsah
便當觳仔,piān-tong-khok-á
KFC,kfc
貯,té
馬鈴薯糋,má-lîng-tsî-tsìnn
McDonald's,mcdonald's
漢堡,hàn-pó
細,sè,tio̍h
粒,lia̍p
飽,pá
Mőo,mőo
罵,mē,mē--ê
Fuck,fuck
you,you
歹聽的,pháinn-thiann--ê
CPU,cpu
Intel的,intel--ê
AMD的,amd--ê
Youtuber,youtuber
展,tián
貓仔,niau-á
而且,jî-tshiánn
古錐的,kóo-tsui--ê
Youtube,youtube
佮意,kah-ì
音樂,im-ga̍k
影片,iánn-phìnn
看過,khuànn--kuè,khuànn-kuè
Subway,subway
菜,tshài
有通,ū-thang
家己,ka-tī,ka-kī
揀,kíng
袂䆀,bē-bái
Bone,b-one
到矣,kàu--ah
停,thîng
Btwo,b-two
B三,b-sann
B四,b-sì
幫,pang
揤一下,tshi̍h--tsi̍t-ē,ji̍h--tsi̍t-ē
台,tâi,tâi-tiong
電梯,tiān-thui
B五,b-gōo
ōo,ōo
坐,tsē
對面,tuì-bīn
二B,ㄦˋ-b,jī-b
鉛筆,iân-pit
借我,tsioh--guá
明仔載,bîn-á-tsài
考試,khó-tshì
Cheese,cheese
口味,kháu-bī
pizza,pizza
暗頓,àm-tǹg
好無,hó--bô
兜,tau
網路,bāng-lōo
牽,khan
mega的,mega--ê
三十二,sann-tsa̍p-jī
Giga,giga
隨身碟,suî-sin-tia̍p
pháng去矣,pháng--khì--ah
phàng見矣,phàng-kìnn--ah
八,peh,pat,pueh
T,t
硬碟,ngē-tia̍p
貴,kuì,kài
lueh,lueh
齣,tshut
電影,tiān-iánn
菜脯,tshài-póo
gâu,gâu
搬,puann
看了,khuànn-liáu
fu,fu
Sa̋iióonálahgoo,sa̋i-ióo-ná-lah
dbye明,goodbye
仔載才,bîn-á-tsài
細漢,sè-hàn
注,tsù
B型,b-hîng
肝炎,kuann-iām
疫苗,i̍k-biâu
抗體無,khòng-thé--bô
A型,a-hîng
逐,ta̍k,liok,jiok,tshiánn,ta̍k-ji̍t
包,pau,pau-uî
血,hueh
捐血中心,kuan-hueh-tiong-sim
檢查,kiám-tsa
B,b
C,c
肝病無,kuann-pēnn--bô
放心,hòng-sim
C肝,c-kuann
藥仔,io̍h-á
二三十萬,jī-sann-tsa̍p-bān
肯,khíng
H七N九,h-tshit-n-kiú
雞災,ke-tse
病毒,pēnn-to̍k
sa̋mphúluh,sa̋m-phú-luh
二,jī,lī
空,khòng,lio̍k,khang,khàng,khong
流感,liû-kám
價,kè
除了,tû-liáu
H三N二,h-sam-n-jī
HoneNone的,h-one-n-one--ê
以外,í-guā
種,tsióng,tsíng,tsìng,tsiòng
抗原,khòng-guân
細胞,sè-pau
內,lāi,lāi-té,tsāi
基因,ki-in
DNA,dna
轉錄,tsuán-lo̍k
RNA,rna
有的,ū-ê
轉譯,tsuán-i̍k
需要,su-iàu
卵白質,nn̄g-pe̍h-tsit
查埔,tsa-poo,ta-poo
差,tsha
第二十三,tē-jī-tsa̍p-sann
染色體,ní-sik-thé
XX,xx
XY,xy
驗,giām
親人,tshin-lâng
fans,fans
今仔日,kin-á-ji̍t,kin-á-jı̍t
In,in
電火,tiān-hué
換,uānn
LED的,led--ê
加,ke,ka
光的,kng--ê
阿玲,a-lîng
著傷,tio̍h-siong
a,a
OKpáng,ok-páng
貼,tah
聽講,thiann-kóng
昌的,tshiong--ê
PSfour矣,ps-four--ah
耍,sńg,bat
PStwo,ps-two
Microsoft,microsoft
Xbox三,x-box
六,sam,lio̍k,la̍k
過,sńg--kuè,kuè,kè,ū,kuè-khì,bē
Office,office
Word,word
儉做,khiām-tsò
ODT,odt
檔,tóng
拍了,phah-liáu
PDF,pdf
印,ìn
Excel,excel
數,siàu,sòo-liōng,sòo
上課,siōng-khò
Powerpoint,powerpoint
投影片,tâu-iánn-phìnn
等我一下,tán--guá--tsi̍t-ē
sioohtoohsioohtooh今,siooh-tooh-siooh-tooh
Outl,tann
ook,outlook
袂振袂動,bē-tín-bē-tāng
做好,tsò-hó
PPT,ppt
先,sing
寄,kià,sī,kì
份,hūn
鼻芳一下,phīnn-phang--tsi̍t-ē
檔案,tóng-àn
傳去,thuân-khì
Drive,drive
分張,pun-tiunn
予人,hōo--lâng
方便,hong-piān
資料,tsu-liāu
囥,khǹg
Dropbox,dropbox
iúpih較,iú-pih
驚,m̄,kiann
SSD,kiann
雄,ssd
雄害,hiông-hiông
冰淇淋,ping-kî-lîm
摻,tsham
Oreo,oreo
好食,hó-tsia̍h
後日,āu--ji̍t
暗時,àm-sî
辦,pān
場,tiûnn
party,party
公園內,kong-hn̂g-lāi
濟,tsē,tsuē,hiah
Pokémon,pokémon
象仔隊,tshiūnn-á-tuī
摃,kòng
䆀,bái,kah,tsiânn
一下仔,tsi̍t-ē-á
GG,gg
PTT,ptt
phoo,phoo
文,bûn
投,tâu
爸母,pē-bú
結果,kiat-kó,khah-hó
插伊,tshap--i
程式,thîng-sik
Python,python
寫的,siá--ê
語法,gí-huat
簡單,kán-tan
JS,js
JavaScript,javascript
袂記得矣,bē-kì--tsit--ah
React,react
Redux,redux
敆,kap
做伙,tsò-hué
用著,iōng-tio̍h
寫,siá
忝頭,thiám-thâu
Webpack,webpack
Django,django
開源,khai-guân
框,khing
軟體,nńg-thé
MVT,mvt
模式,bôo-sik
分別,hun-pia̍t
代表,tāi-piáu
Model,model
模型,bôo-hîng
View,view
介面,kài-bīn
Template,template
枋模,pang-bôo
Javascript,javascript
NodeJS,nodejs
走的,tsáu--ê
頭,thâu,tuā
門,mn̂g
課,khò
教,kà,kàu-ha̍k,kàu
Cplusplus的,c-plus-plus--ê
C的,c--ê
你咧,lí--leh
彼號,hit-lō,hit-hō
TIIDA,tiida
後斗,āu-táu
敢若,kán-ná,ká-ná
Toyota,toyota
Camry,camry
慣勢,kuàn-sì
領,niá
Tshirt,t-shirt
皺皺,jiâu-jiâu
熨熨咧啦,ut-ut--leh--lah
VR,vr
組,tsoo,miâ-sû
GPU,gpu
設備,siat-pī
AI,ai
奅的,phānn--ê
講著,kóng-tio̍h,kóng--tio̍h
袂輸,bē-su
趁大錢,thàn-tuā-tsînn
仝款,kāng-khuán,kâng-khuán
機器人,ki-khì-lâng
TTS,tts
HTS,hts
Tacotrontwo,tacotron-two
做的,tsò--ê
聽過,thiann-kuè
ABCD,abcd
狗,káu,phō
咬,kā
豬,ti,ti-á
騎,khiâ
Gogoro,gogoro
電動車,tiān-tōng-tshia
恬,tiām,kik,tiām-tiām
毋過,m̄-koh,m̄-kò
加油,ka-iû
只是,tsí-sī
不時,put-sî
ba̍ttélih,ba̍t-té-lih
新竹,sin-tik
車頭,tshia-thâu
SOGO,sogo
曷,a̍h
關,kuainn,kuinn
冷氣,líng-khì
走出來矣,tsáu--tshut-lâi--ah
逐擺,ta̍k-pái
出,tshut
新,sin
走去,tsáu-khì
排隊,pâi-tuī
頓,tǹg
VISA,visa
張,tiunn,hit,tng,teh
信用,sìn-iōng
卡,khah,khá
卡號,khah-hō
四,sù,sì,sù-sī
七,tshit
五,ngóo,gōo,sī,tō
九,kiú,káu,tsiah
Master,master
銀行,gîn-hâng
捒,sak
JCB,jcb
sabìsù,sa-bì-sù
下早仔,e-tsái-á
電話,tiān-uē
個,kò
月,gue̍h
店內,tiàm-lāi
超過,tshiau-kuè,tshiau-kè
一千,tsi̍t-tshing
箍,khoo
好空,hó-khang
GDP,gdp
增加,tsing-ka
pha,pha
主計處,tsú-kè-tshù
節過,tsat-kuè
五萬,gōo-bān
兩千,nn̄g-tshing,nn̄g-tshian
三百,sann-pah
美金,bí-kim
閣較,koh-khah
BBS,bbs
收收起來矣,siu-siu--khí-lâi--ah
錄音,lo̍k-im
照,tsiàu,tsiò
SOP,sop
好矣,hó--ah
定,tīng,guá,tiānn
落勾,làu-kau
server,server
裝,tsng,lue̋,tsò
Linux的,linux--ê
管理,kuán-lí
推薦,thui-tsiàn
Ubuntu,ubuntu
看覓仔,khuànn-māi-á,khuànn-māi--á
生,senn,sing
Windows,windows
仝款仔,kāng-khuán-á
Vista,vista
字型,jī-hîng
支援,tsi-uān
Unicode,unicode
ExtensionB,extension-b
字,jī
Android,android
iOS的,ios--ê
納錢,la̍p-tsînn
PayPal,paypal
口座,kháu-tsō
Bigfive矣,big-five--ah
UTF八,utf-peh
問題,būn-tê,būn-tuê
Email,email
寄矣,kià--ah
CC,cc
總的,tsóng--ê
Ha̋nn,ha̋nn
收著,siu-tio̍h
Emailā,e-mail
G,ê,g
mail,g-mail
碗,uánn
搦仔麵,la̍k-á-mī
lòosuh尾,lòo-suh-bué
阿昌仔,a-tshiong--á
樂器,ga̍k-khì
會曉,ē-hiáng,ē-hiáu
sísōomì,sí-sōo-mì
歕,pûn
不止仔,put-tsí-á
雙面,siang-bīn
Afour彼,a-four
海,tiunn,hái
報印,hái-pò
A,ìn,a
三彩,a-sann
色的,tshái-sik--ê,sik--ê
陳,tân
建瑋,kiàn-uí
歌,kua
好聽的,hó-thiann--ê
CD,cd
支,ki
BB,bb
call,call
變做,piàn-tsò
古董,kóo-tóng
挃矣,ti̍h--ah
遙控的,iâu-khòng--ê
copy一下,copy--tsi̍t-ē
三G的,sann-g--ê
四G,sì-g
SIM,sim
插,tshah,tshap
三G,sann-g
內面,lāi-bīn
阿榮仔,a-îng--á
HTC,htc
股票,kóo-phiò
落,lak,lo̍h,làu
一百,tsi̍t-pah
OK,ok
穿,tshīng,tshng
L的,l--ê
M的,m--ê
囝,kiánn,kiánn-sài
XXL的,xxl--ê
試穿,tshì-tshīng
Nokia的,nokia--ê
Yahoo,yahoo
以早,í-tsá
有名,ū-miâ
倒矣,tó--ah
PChome,pc-home
筆電,pit-tiān
雨傘,hōo-suànn
袂記得,bē-kì-tsit,bē-kì--tsit,buē-kì--tsit,bē-kì-tit
紮矣,tsah--ah
QQ,qq
邱的,khu--ê
唱,tshiùnn,tshiàng
RandB有,r-and-b
夠好,ū-kàu
瘦,sán
S的,s--ê
Sony,sony
吋的,tshùn--ê
Sony的,sony--ê
Samsung,samsung
翕相,hip-siòng
效果,hāu-kó
StarBucks,starbucks
咖啡的無,ka-pi--ê--bô
禮拜,lé-pài
杯,pue,pue-á
頭前,thâu-tsîng
UBike,u-bike
站,tsām,pún
上下班,siōng-hā-pan
麻煩,mâ-huân
叫,kiò
Uber,uber
保,pó
保險,pó-hiám
負責,hū-tsik
羅的,lô--ê,hàn-lô
VIP,vip
借,tsioh
十,tsa̍p
前,tsîng
加入,ka-ji̍p
WTO,wto
買賣,bé-bē
抾稅,khioh-suè
答應,tah-ìng
已,í
開發,khai-huat
國家,kok-ka
名,miâ
撨,tshiâu
車號,tshia-hō
SRZ,srz
車主,tshia-tsú
徙,suá
車一下,tshia--tsi̍t-ē
閘著,tsa̍h-tio̍h
隔壁,keh-piah
收聽,siu-thiann
節目,tsiat-bo̍k
廣播,kóng-pò,kóng-pòo
電台,tiān-tâi
AM,am
點,tiám
千,tshing
赫,hik
收聽的,siu-thiann--ê
上蓋,siōng-kài
趣味,tshù-bī
Taiwan,taiwan
radio,radio
FM,fm
各位,kok-uī
聽眾,thiann-tsiòng
DJ,dj
米粉,bí-hún
冊揹仔,tsheh-phāinn-á
面頂,bīn-tíng
tsiűtsiú三,tsiű-tsiú
色,ê,sik-tì
水攏,sik-tsuí
仝,bô,kāng,kâng
Formosa,formosa
來的,lâi--ê
恁咧,lín--leh
死矣,sí--ah
SSH,ssh
入去,ji̍p-khì,ji̍p--khì,li̍p-khì,li̍p--khì
主機,tsú-ki
掠漏,lia̍h-lāu
FTP,ftp
驚的,kiann--ê
拖,thua
lîákhah,lî-á-khah
âu,âu
柴工場,tshâ-kang-tiûnn
抔,put
鋸屑烌,kì-sut-hu
弄,lōng,lāng
規,kui,kah
面,bīn
頭毛,thâu-mn̂g
黃色,n̂g-sik
艱苦,kan-khóo
毋捌,m̄-bat
忝,thiám
iPad,ipad
跳出,thiàu-tshut
iOS,ios
更新,king-sin
通知,thong-ti
袂爽,bē-sóng
爽,sóng
無細膩,bô-sè-jī
趨倒,tshu--tó
關心,kuan-sim
變態,piàn-thài
真正,tsin-tsiànn
好心,hó-sim
雷,luî
唚,tsim
死心,sí-sim
提醒,thê-tshínn
顧,kòo,lâi
媠無,suí--bô
有喔,ū--ooh
őo,őo
全,tsuân
五十一萬,gōo-tsa̍p-it-bān
一萬,tsi̍t-bān
六千,la̍k-tshing
兩百,nn̄g-pah
八十八,peh-tsa̍p-peh
看無,khuànn-bô,khuànn--bô
報紙,pò-tsuá
消息的,siau-sit--ê
是無,sī--bô
時鐘,sî-tsing
無閒,bô-îng
幸福,hīng-hok
佗位,tó-uī
鉛筆盒仔,iân-pit-a̍p-á
啥人,siánn-lâng
腹肚枵,pak-tóo-iau
本,pún,tī
冊,tsheh
囡仔,gín-á
改,kái
進步,tsìn-pōo
分,hun,pun,hūn
桌頂,toh-tíng
箸,tī
做過,tsò-kuè
摒掃,piànn-sàu
工課,khang-khuè,khang-khè
時陣,sî-tsūn
注意,tsù-ì
啥貨,siánn-huè
請問,tshiánn-mn̄g
當時,tang-sî,tong-sî,tng-sî
車位,tshia-uī
空格仔,khàng-keh-á
選項,suán-hāng
妥當,thò-tòng
下底,ē-té
句,kù
講法,kóng-huat
台語,tâi-gí
描述,biâu-su̍t
內容,luē-iông,lāi-iông
替,thè,tsiah
下跤,ē-kha
項,hāng
符合,hû-ha̍p
對話,tuì-uē
情境,tsîng-kíng
阿賢,a-hiân
歲,huè
氣口,khuì-kháu
大,tuā,koh,lâi,tsò,o̍h,ê,pa̍k
老師,lāu-su
意思,ì-sù
睏去矣,khùn--khì--ah
聽的,thiann--ê
方,png,tāi-hong,hong-hiòng,hong,ê
小姐的,sió-tsiá--ê
阿婆,a-pô
先生娘,sian-sinn-niû
關係,kuan-hē
留,lâu
字條仔,jī-tiâu-á
母仔,bú--á
轉來,tńg--lâi,tńg-lâi,tshuē--tńg-lâi
查某囝,tsa-bóo-kiánn
排,pâi
第,tē
丁,ting
太太,thài-thài
金瓜,kim-kue
香菇,hiunn-koo
結頭菜,kiat-thâu-tshài
阿娘,a-niâ
搖,iô
阿爹,a-tia
惜,sioh
搖來搖去,iô-lâi-iô-khì
阿弟仔,a-tī-á
睏無,khùn--bô
問,mn̄g,būn,būn-tuê
老母,lāu-bú
食飽矣未,tsia̍h-pá--ah--bē
抑,ia̍h,a̍h,siannh,ah
ê,ê
阿妹仔,a-me-á
台南,tâi-lâm
講咧,kóng--leh,kóng-leh
拜,pài
培墓,puē-bōng
初,tshe,tshoo
I仔,i--á
片,phìnn,phiàn
公元,kong-guân
真,tsin,kóng,sī,tō
巧,khiáu
掠龍一下,lia̍h-lîng--tsi̍t-ē
十點,tsa̍p-tiám
來去,lâi-khì
會使無,ē-sái--bô
枝,ki
甕,àng
酒,tsiú
著無,tio̍h--bô
的乎,ê--honnh
任,jīm
里長,lí-tiúnn
阿賓伯,a-pin-peh
著毋,tio̍h--m̄
身體,sin-thé
近來,kīn-lâi,kīn--lâi
好毋,hó--m̄
過了,kuè-liáu
錢無,tsînn--bô
來袂,lâi--bē
會曉袂,ē-hiáu--bē
食飯無,tsia̍h-pn̄g--bô
鬥陣,tàu-tīn
食飯乎,tsia̍h-pn̄g--honnh
袂使,bē-saih,bē-sái
媠,suí,tsin
疼矣,thiànn--ah
病院,pēnn-īnn,pēnn-ìnn
食飽,tsia̍h-pá
未,bē,buē
踮,tàm,tiàm
相,sio,siòng
等,tán,ê,tíng,tōng-sû
啊,ah
lē,lē
阿i,a-i
快樂,khuài-lo̍k
陳先生,tân--sian-sinn
身軀,sing-khu,sin-khu
爽快,sóng-khuài
感覺,kám-kak
發燒,huat-sio
畏寒,uì-kuânn
燒,sio
頂,tíng
禮拜四,lé-pài-sì
拜二,pài-jī
攏總,lóng-tsóng
若是,ná-sī,nā-sī
嚨喉,nâ-âu
擽擽,ngiau-ngiau
有時仔,ū-sî-á
頭殼,thâu-khak
嗽,sàu
半暝,puànn-mê
痰,thâm
青色,tshenn-sik
膿,lâng
有當時仔,ū-tang-sî-á
小等一下,sió-tán--tsi̍t-ē
等咧,tán--leh
喝著,huah-tio̍h
入來,li̍p--lâi,li̍p-lâi,ji̍p--lâi,ji̍p-lâi
先生,sian-sinn
