# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Sep 28 18:05:04 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 76.5386638611% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 38.1530343008% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 76.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.1,27) frames.
At utterance end, onnh4 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (37,36.8,40) frames.
At utterance end, i7 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (35,34.9,39) frames.
At utterance end, o5 accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.8,36) frames.
At utterance end, ing5 accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (41,38.6,46) frames.
At utterance end, i2 accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.0,31) frames.
At utterance end, ai7 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.3,42) frames.
At utterance end, oo7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (34,35.0,40) frames.
At utterance end, ue3 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.7,35) frames.
At utterance end, im1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.2,37) frames.
At utterance end, i1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (34,34.6,39) frames.
At utterance end, i5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (40,40.8,43) frames.
At utterance end, iann1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,38.0,46) frames.
At utterance end, ue7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (36,37.1,41) frames.
At utterance end, un3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.3,33) frames.
At utterance end, ia1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (40,40.5,43) frames.
At utterance end, m7 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.3,26) frames.
At utterance end, ngh4 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.1,33) frames.
Overall, nonsilence accounts for 83.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.6,32) frames.
Overall, SIL accounts for 16.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,23.3,60) frames.
Overall, k accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,15) frames.
Overall, l accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,11) frames.
Overall, s accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.3,22) frames.
Overall, ts accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,17) frames.
Overall, t accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,15) frames.
Overall, h accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.6,18) frames.
Overall, e5 accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.9,33) frames.
Overall, kh accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.8,19) frames.
Overall, p accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,17) frames.
Overall, i2 accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.4,29) frames.
Overall, b accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, tsh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.9,20) frames.
Overall, g accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
Overall, i7 accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.9,33) frames.
Overall, ah4 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.5,37) frames.
Overall, th accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,19) frames.
Overall, a2 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.1,35) frames.
Overall, ai5 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.2,37) frames.
Overall, e7 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.2,38) frames.
Overall, i3 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.7,32) frames.
Overall, u7 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.5,32) frames.
Overall, ua2 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,26) frames.
Overall, ong2 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.5,37) frames.
Overall, i1 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.3,35) frames.
Overall, eh4 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (25,22.6,39) frames.
Overall, n accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,15) frames.
Overall, oo7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.7,35) frames.
Overall, ang5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,24.6,45) frames.
Overall, m accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,16) frames.
Overall, it4 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,21) frames.
Overall, ing5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,25.0,44) frames.
Overall, ing1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.5,34) frames.
Overall, ai3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.3,28) frames.
Overall, in1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.6,28) frames.
Overall, ph accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.3,21) frames.
Overall, o2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.8,25) frames.
The optional-silence phone SIL occupies 24.5% of frames overall 
Limiting the stats to the 90.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 22.7% of frames.
Assuming 100 frames per second, the alignments represent 2.2 hours of data, or 1.7 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 13.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (22,26.5,62)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Sep 28 18:05:04 CST 2022, elapsed time 0 seconds
